Orderregel,MachineNaam,Sum of VOCA in uur,Status
175435,Degel 1,3.67,InProgress
175488,Laser 4,15.59,InProgress
175491,Quad,4.19,InProgress
175493,Quad,1.68,InProgress
175496,Quad,10.07,InProgress
175498,Quad,10.07,InProgress
175502,Stikken Secrid,33.92,InProgress
175503,Quad,6.71,InProgress
175515,Quad,0.33,InProgress
175516,Quad,0.27,InProgress
175540,Giant,9.58,InProgress
175571,Flash_Cut 5,1.22,InProgress
175620,Giant,3.03,InProgress
175621,Giant,2.78,InProgress
175622,Giant,4.17,InProgress
175623,Giant,5.56,InProgress
175643,Laser 3,0.47,InProgress
175644,Laser 3,0.67,InProgress
175647,Giant,0.9,InProgress
